Swaraj Engines Stock Price,Year,Month
3203.95,2024,12
2982.00,2024,11
3100.00,2024,10
3411.00,2024,9
3160.00,2024,8
2879.95,2024,7
2497.00,2024,6
2491.00,2024,5
2310.65,2024,4
2375.70,2024,3
2239.80,2024,2
2400.00,2024,1
2210.00,2023,12
2010.05,2023,11
2008.95,2023,10
2035.00,2023,9
1994.00,2023,8
2217.95,2023,7
1860.00,2023,6
1753.00,2023,5
1549.45,2023,4
1485.00,2023,3
1661.15,2023,2
1560.60,2023,1
1558.05,2022,12
1603.25,2022,11
1601.20,2022,10
1623.00,2022,9
1597.00,2022,8
1514.90,2022,7
1577.10,2022,6
1534.00,2022,5
1366.10,2022,4
1362.50,2022,3
1417.00,2022,2
1618.00,2022,1
1678.20,2021,12
1747.10,2021,11
1636.30,2021,10
1681.45,2021,9
1803.90,2021,8
1899.90,2021,7
1547.95,2021,6
1480.00,2021,5
1312.85,2021,4
1304.45,2021,3
1320.00,2021,2
1463.35,2021,1
1421.10,2020,12
1401.00,2020,11
1479.00,2020,10
1640.00,2020,9
1380.00,2020,8
1465.95,2020,7
1120.00,2020,6
1000.00,2020,5
890.00,2020,4
1230.50,2020,3
1230.00,2020,2
1125.00,2020,1
