PartNo,Description,Year,Month,Quantity,Sales Price
0503BA0290N-RK,ALFA HUB,2020,1,85,2118.6
0503BA0290N-RK,ALFA HUB,2020,2,64,2376.71
0503BA0290N-RK,ALFA HUB,2020,3,67,2098.11
0503BA0290N-RK,ALFA HUB,2020,4,48,1833.7
0503BA0290N-RK,ALFA HUB,2020,5,81,1751.52
0503BA0290N-RK,ALFA HUB,2020,6,73,1727.89
0503BA0290N-RK,ALFA HUB,2020,7,48,1559.03
0503BA0290N-RK,ALFA HUB,2020,8,90,1597.78
0503BA0290N-RK,ALFA HUB,2020,9,81,1661.77
0503BA0290N-RK,ALFA HUB,2020,10,67,1362.4
0503BA0290N-RK,ALFA HUB,2020,11,78,1526.51
0503BA0290N-RK,ALFA HUB,2020,12,77,1282.88
0503BA0290N-RK,ALFA HUB,2021,1,74,1363.92
0503BA0290N-RK,ALFA HUB,2021,2,80,1309.23
0503BA0290N-RK,ALFA HUB,2021,3,80,1252.84
0503BA0290N-RK,ALFA HUB,2021,4,59,1050.88
0503BA0290N-RK,ALFA HUB,2021,5,57,941.71
0503BA0290N-RK,ALFA HUB,2021,6,61,918.06
0503BA0290N-RK,ALFA HUB,2021,7,78,1009.17
0503BA0290N-RK,ALFA HUB,2021,8,43,799.41
0503BA0290N-RK,ALFA HUB,2021,9,85,796.55
0503BA0290N-RK,ALFA HUB,2021,10,64,773.13
0503BA0290N-RK,ALFA HUB,2021,11,62,721.85
0503BA0290N-RK,ALFA HUB,2021,12,41,716.84
0503BA0290N-RK,ALFA HUB,2022,1,75,718.31
0503BA0290N-RK,ALFA HUB,2022,2,122,739.77
0503BA0290N-RK,ALFA HUB,2022,3,73,771.41
0503BA0290N-RK,ALFA HUB,2022,4,114,914.99
0503BA0290N-RK,ALFA HUB,2022,5,77,888.77
0503BA0290N-RK,ALFA HUB,2022,6,71,919.81
0503BA0290N-RK,ALFA HUB,2022,7,84,1112.72
0503BA0290N-RK,ALFA HUB,2022,8,54,977.47
0503BA0290N-RK,ALFA HUB,2022,9,83,1082.58
0503BA0290N-RK,ALFA HUB,2022,10,90,1141.67
0503BA0290N-RK,ALFA HUB,2022,11,114,1341.56
0503BA0290N-RK,ALFA HUB,2022,12,83,1333.43
0503BA0290N-RK,ALFA HUB,2023,1,67,1236.25
0503BA0290N-RK,ALFA HUB,2023,2,86,1527.47
0503BA0290N-RK,ALFA HUB,2023,3,131,1424.29
0503BA0290N-RK,ALFA HUB,2023,4,106,1636.81
0503BA0290N-RK,ALFA HUB,2023,5,81,1718.73
0503BA0290N-RK,ALFA HUB,2023,6,84,1680.7
0503BA0290N-RK,ALFA HUB,2023,7,76,1993.21
