Inflation,Month,Year,pmi,PartNo,Description,Quantity,Sales Price,Total Sales,Swaraj Engines Stock Price,M&M Stock Price,Escorts Kuboto Stock Price
7.59,1,2020,250,0503BA0290N-RK,ALFA HUB,85,2118.6,59367,1125.0,532.9,630.0
7.59,1,2020,250,0503BA0290N,Front Wheel Hub,318,3536.35,59367,1125.0,532.9,630.0
7.59,1,2020,250,0502BA1050N,Alfa Rear Wheel Hub LH,209,1383.36,59367,1125.0,532.9,630.0
7.59,1,2020,250,0502BA1060N,Alfa Rear Wheel Hub RH,119,4849.5,59367,1125.0,532.9,630.0
7.59,1,2020,250,0602AAB00260N,Brake Drum ALFA,134,2462.26,59367,1125.0,532.9,630.0
7.59,1,2020,250,0601AMJ00030N,Brake Drum -TREO,209,498.57,59367,1125.0,532.9,630.0
7.59,1,2020,250,0601AAA00320N,B.D. E-Riksha,241,4105.21,59367,1125.0,532.9,630.0
7.59,1,2020,250,0601AED00170N,Brake Drum E-Rikshaw,352,1111.54,59367,1125.0,532.9,630.0
7.59,1,2020,250,0801AAA00960N,Clutch Housing LCC,90,514.42,59367,1125.0,532.9,630.0
7.59,1,2020,250,006017472B92,Fly Wheel 3DI,58,4480.62,59367,1125.0,532.9,630.0
7.59,1,2020,250,006029533V91,Fly Wheel 3DI E1H1,363,3136.22,59367,1125.0,532.9,630.0
7.59,1,2020,250,006028861V92,475/575 4DI-NCRPTO,40,1488.36,59367,1125.0,532.9,630.0
7.59,1,2020,250,006028860V91,475/575 4DI-CRPTO,373,3002.55,59367,1125.0,532.9,630.0
7.59,1,2020,250,006022009B91,Fly Wheel Swraj,172,849.63,59367,1125.0,532.9,630.0
7.59,1,2020,250,007903649B1,HUB(CRE),239,602.96,59367,1125.0,532.9,630.0
7.59,1,2020,250,4D00322,BOSS BRAKCET,42,272.95,59367,1125.0,532.9,630.0
7.59,1,2020,250,005551418R8,F.A.S. (BP),315,670.37,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3S00100,Brake Drum 100,131,499.64,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8T00122,Brake Drum 122,88,2652.35,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3S00222,Brake Drum 222,219,187.0,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3S00422,Brake Drum 422,44,4547.99,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8T01222,Brake Drum 1222,137,1050.71,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8T02022,Brake Drum 2022,321,3351.98,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1860822,BD (B) 1860822 -EDM,208,1652.07,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1869022,BD F-1869022-EDM,125,3716.8,59367,1125.0,532.9,630.0
