Inflation,Month
7.59,Jan 2020
6.58,Feb 2020
5.84,Mar 2020
7.22,Apr 2020
6.26,May 2020
6.23,Jun 2020
6.73,Jul 2020
6.69,Aug 2020
7.27,Sep 2020
7.61,Oct 2020
6.93,Nov 2020
4.59,Dec 2020
4.06,Jan 2021
5.03,Feb 2021
5.52,Mar 2021
4.23,Apr 2021
6.3,May 2021
6.26,Jun 2021
5.59,Jul 2021
5.3,Aug 2021
4.35,Sep 2021
4.48,Oct 2021
4.91,Nov 2021
5.66,Dec 2021
6.01,Jan 2022
6.07,Feb 2022
6.95,Mar 2022
7.79,Apr 2022
7.04,May 2022
7.01,Jun 2022
6.71,Jul 2022
7,Aug 2022
7.41,Sep 2022
6.77,Oct 2022
5.88,Nov 2022
5.72,Dec 2022
6.52,Jan 2023
6.44,Feb 2023
5.66,Mar 2023
4.7,Apr 2023
4.31,May 2023
4.87,Jun 2023
7.44,Jul 2023
6.83,Aug 2023
5.02,Sep 2023
4.87,Oct 2023
5.55,Nov 2023
5.69,Dec 2023
5.1,Jan 2024
5.09,Feb 2024
4.85,Mar 2024
4.83,Apr 2024
4.75,May 2024
5.08,Jun 2024
3.6,Jul 2024
3.65,Aug 2024
5.49,Sep 2024
6.21,Oct 2024
5.48,Nov 2024
5.22,Dec 2024
