Month,Total Production,Total Sales (Including Exports),Exports
Jan-20,68053,59367,5980
Feb-20,69280,64937,7227
Mar-20,55862,35216,3984
Apr-20,254,12456,629
May-20,30751,64860,4419
Jun-20,81445,98648,5760
Jul-20,79789,70645,7508
Aug-20,86999,72581,7852
Sep-20,99523,116185,7600
Oct-20,108873,123883,8728
Nov-20,90327,89530,7200
Dec-20,91969,71740,10491
Jan-21,96020,87579,9234
Feb-21,95674,84690,9045
Mar-21,103607,95231,10155
Apr-21,87940,72340,8918
May-21,68629,63313,7704
Jun-21,92032,120437,10038
Jul-21,104308,76403,11187
Aug-21,105422,65481,11760
Sep-21,100160,105155,12690
Oct-21,90395,127809,12194
Nov-21,67566,74573,10790
Dec-21,53527,55614,11186
Jan-22,72064,63257,10490
Feb-22,61736,62338,10385
Mar-22,57321,84182,11294
Apr-22,84144,99916,10715
May-22,96613,93522,11582
Jun-22,103563,107326,12849
Jul-22,101421,67047,11836
Aug-22,98745,64809,12118
Sep-22,104698,125006,11320
Oct-22,86856,132413,8888
Nov-22,78709,77824,9884
Dec-22,59106,66271,10489
Jan-23,90633,73399,7764
Feb-23,82874,69673,7306
Mar-23,83948,92647,9791
Apr-23,86844,86940,7652
May-23,79928,91263,8356
Jun-23,92266,106620,8198
Jul-23,89196,67043,8460
Aug-23,94125,62123,8874
Sep-23,90688,105457,8523
Oct-23,94438,125418,7186
Nov-23,60014,78988,6722
Dec-23,41014,52126,7391
Jan-24,74895,62774,7185
Feb-24,71607,51764,8487
Mar-24,72128,74549,10794
Apr-24,77464,84404,7459
May-24,89154,91757,8809
Jun-24,95010,110348,8367
Jul-24,96380,67952,8423
Aug-24,93176,58733,8599
Sep-24,93121,108030,7488
Oct-24,94771,151772,7097
Nov-24,74854,78263,6963
Dec-24,49586,59067,8074
